cocktail.name,ingredient,measure,row
tequila old-fashioned,carbonated water,3.7,1234
tequila old-fashioned,sugar,1.85,1235
tequila old-fashioned,bitters,0.9,1236
tequila old-fashioned,pineapple,10,1237
tequila mockingbird,tequila,44.25,1238
tequila mockingbird,triple sec,14.75,1239
tequila mockingbird,blue curacao,14.75,1240
tequila mockingbird,orange juice,59,1241
tequila mockingbird,cranberry juice,29.5,1242
tequila matador,tequila,44.25,1243
tequila matador,pineapple juice,88.5,1244
tequila matador,lime,5,1245
tequila manhattan,tequila,59,1246
tequila manhattan,sweet vermouth,29.5,1247
tequila manhattan,lime juice,0.9,1248
tequila manhattan,orange,10,1249
tequila manhattan,cherry,10,1250
tequila fizz,tequila,59,1251
tequila fizz,lemon juice,11.1,1252
tequila fizz,grenadine,22.125,1253
tequila fizz,egg white,10,1254
tequila fizz,ginger ale,100,1255
tequila comfort,tequila,29.5,1256
tequila comfort,southern comfort,29.5,1257
tequila collins,lemon,5,1258
tequila collins,powdered sugar,3.7,1259
tequila collins,tequila,59,1260
tequila collins,club soda,100,1261
tequila cocktail,tequila,59,1262
tequila cocktail,lemon,5,1263
tequila cocktail,grenadine,3.6,1264
tequila cocktail,egg white,3.33333333333333,1265
tequila cocktail,lemon,10,1266
tequila canyon,tequila,44.25,1267
tequila canyon,triple sec,3.6875,1268
tequila canyon,cranberry juice,118,1269
tequila canyon,pineapple juice,7.375,1270
tequila canyon,orange juice,7.375,1271
tequila boomboom,tequila,59,1272
tequila boomboom,tabasco sauce,80,1273
tequila boomboom,tonic water,29.5,1274
tequila and tonic,gold tequila,73.75,1275
tequila and tonic,tonic water,100,1276
tequila and tonic,ice,120,1277
tequila and tonic,lime,100,1278
tequila (straight),lemon,2.5,1279
tequila (straight),salt,10,1280
tequila (straight),tequila,44.25,1281
tennesee mud,coffee,236,1282
tennesee mud,jack daniels,118,1283
tennesee mud,amaretto,118,1284
tennesee mud,whipped cream,100,1285
ten quidder,gin,44.25,1286
ten quidder,triple sec,29.5,1287
ten quidder,bitters,0.9,1288
ten quidder,blue curacao,3.7,1289
tempter cocktail,apricot brandy,29.5,1290
tempter cocktail,port,29.5,1291
temptation cocktail,blended whiskey,44.25,1292
temptation cocktail,dubonnet rouge,1.85,1293
temptation cocktail,triple sec,1.85,1294
temptation cocktail,anis,1.85,1295
temptation cocktail,orange peel,150,1296
temptation cocktail,lemon peel,15,1297
